run_type,sweep_type,sweep_value,tag,pass,total_tput,rled_tput,int_tput,delay_avg,delay_rled,delay_int,pdr_total,pdr_rled,pdr_int,drop_total,drop_rled,drop_int,jitter_avg,jitter_rled,jitter_int,energy_total,energy_per_node,yielding,fairness,rled_mean,rled_std,int_mean,int_std
sweep,nodes,20,pass_base_nodes_20,base,5.216,2.6132,2.6028,440.63,437.72,443.56,96.6053,96.5274,96.6839,3.3947,3.4726,3.3161,8.12,8.48,7.77,1013.0458,50.6523,1.004,0.9857,0.35610737951807225,0.6404887823310634,0.33298465189873416,0.5807039566651735
sweep,nodes,40,pass_base_nodes_40,base,5.2172,2.1468,3.0704,433.51,422.28,441.4,96.8044,96.676,96.8948,3.1956,3.324,3.1052,8.3,9.11,7.73,2058.9829,51.4746,0.6992,0.7641,0.3555929770992366,0.6407464596140432,0.3305691813804173,0.5742353399079243
sweep,nodes,60,pass_base_nodes_60,base,5.203,2.591,2.612,436.55,425.09,447.94,96.4098,96.3009,96.5182,3.5902,3.6991,3.4818,8.48,9.22,7.74,3104.2817,51.738,0.9919,0.9301,0.35646859375,0.6413855237135248,0.32925575657894735,0.5733486947941234
sweep,nodes,80,pass_base_nodes_80,base,5.2591,3.2245,2.0347,409.45,400.91,423.0,97.1163,97.1016,97.1396,2.8837,2.8984,2.8604,8.93,9.38,8.2,4151.702,51.8963,1.5848,0.842,0.35564944,0.6382970027218413,0.33009054054054054,0.5762460092888535
sweep,nodes,100,pass_base_nodes_100,base,5.27,3.1259,2.144,419.76,407.48,437.68,97.4394,97.6586,97.1212,2.5606,2.3414,2.8788,8.13,8.64,7.39,5197.8035,51.978,1.458,0.8291,0.3544620689655172,0.6364232968174628,0.33182118055555554,0.5783098197093124
sweep,flows,10,pass_base_flows_10,base,5.3628,2.4011,2.9617,364.78,333.42,390.22,98.2867,98.9533,97.7525,1.7133,1.0467,2.2475,5.77,5.69,5.84,3106.7277,51.7788,0.8107,0.981,0.35401026936026936,0.6385810246655396,0.33137201426024954,0.5744969075725137
sweep,flows,20,pass_base_flows_20,base,5.3113,2.7465,2.5648,407.39,394.93,420.77,97.8104,97.763,97.8613,2.1896,2.237,2.1387,7.21,7.3,7.11,3106.3739,51.7729,1.0708,0.9787,0.34884625850340134,0.6340598550065278,0.3249012612612613,0.5691186518717509
sweep,flows,30,pass_base_flows_30,base,5.2479,3.0479,2.2,432.08,421.44,446.82,96.9033,96.7688,97.0901,3.0967,3.2312,2.9099,8.71,9.01,8.29,3105.5131,51.7586,1.3854,0.8956,0.34539185441941067,0.6300388643231196,0.3225360294117647,0.5691044635476186
sweep,flows,40,pass_base_flows_40,base,5.1786,2.5683,2.6102,455.68,440.5,470.65,96.1544,96.3513,95.961,3.8456,3.6487,4.039,8.68,9.47,7.91,3104.1999,51.7367,0.9839,0.8931,0.3451338680926916,0.6315869316992219,0.3230113636363637,0.5681938436833469
sweep,flows,50,pass_base_flows_50,base,5.1505,2.6084,2.5421,469.69,456.35,483.38,95.2972,95.5515,95.0375,4.7028,4.4485,4.9625,8.3,8.53,8.06,3104.0499,51.7342,1.0261,0.8691,0.34886240740740737,0.6349386569478952,0.32603668639053257,0.5701028551402971
